spicy,category_id,category_name,vegetarian option,name,price,price per glass,price per bottle,lunch option,lunch,count,description
,seafood,Seafood,,White Scallops,$12.95 ,,,,,,"Whole large scallops sauteed in a light garlic-infused wine sauce served atop blanched broccoli, a simple scallop dish that accentuates the essence of scallops."
yes,seafood,Seafood,,Spicy Dry Fried Calamari,$11.95 ,,,TRUE,$7.50 ,,Deep-fried chunks of calamari flash-fried and tossed with a spicy ginger and garlic sauce.
yes,seafood,Seafood,,Happy Family,$12.95 ,,,,,,Assorted seafood and vegetables stir-fried with fresh ginger and garlic in a spicy wine sauce.
yes,seafood,Seafood,,Spicy Lemon Pepper Prawns,$11.95 ,,,,,,"Tender prawns stir-fried with sliced yellow onions, minced garlic, and a spicy lemon pepper mixture."
yes,seafood,Seafood,,Xiao Loong's Hot Braised Fish,A.Q,,,,,,"Our daily fish topped with a rich spicy mixture of minced black mushrooms, water chestnuts, bamboo shoots, fresh ginger, chili, and garlic."
,seafood,Seafood,,Xiao Loong's Steamed Fish,A.Q,,,,,,"Our daily fish steamed with julienned fresh ginger, chopped green onions and sliced shiitake mushrooms in our house Chinese wine sauce, all topped with smoking hot oil to draw the essence from the fresh aromatics."
yes,seafood,Seafood,,Hunan Steamed Fish,A.Q,,,,,,"Our daily fish steamed with roasted red hot peppers, fermented black beans, minced fresh ginger, and chopped garlic in our house Chinese wine sauce"
,seafood,Seafood,,Shandong Braised Fish,A.Q,,,,,,"Our daily fish braised with fresh vegetables, black mushrooms, and tofu chunks in a Chinese anise-infused pepper sauce."
yes,beef,Beef,,Mongolian Beef,$10.95 ,,,TRUE,$6.95 ,,"Tender sliced beef sauteed with green onions, julienned yellow onions, and roasted red hot peppers in our house sauce served on a bed of crispy rice noodles."
,beef,Beef,,Xiao Loong Beef,$10.95 ,,,TRUE,$6.95 ,,Sliced flank steak marinated in a garlic-infused sweet and peppery sauce stir-fried and placed on a bed of freshly chopped cabbage topped with toasted sesame seeds.
yes,beef,Beef,,Mandarin Beef,$10.95 ,,,,,,Deep-fried sliced flank steak strips tossed with roasted red hot peppers and a spicy ginger garlic sauce.
yes,beef,Beef,,Kung Pao Beef,$10.95 ,,,TRUE,$6.95 ,,"Xiao Loong's spicy Kung Pao sauce coats a generous blend of sliced flank steak sauteed with roasted red hot peppers, green onion bulbs, bell peppers, white onions, and fresh roasted peanuts."
,beef,Beef,,Broccoli Beef,$10.95 ,,,TRUE,$6.95 ,,Sliced tender beef with a mixture of fresh broccoli flowerets quickly stir-fried in our house sauce.
,beef,Beef,,Snow Peas Beef,$10.95 ,,,,,,Sliced tender beef with a mixture of fresh snow peas quickly stir-fried in our house soy sauce.
,beef,Beef,,Shiitake Mushroom Beef,$10.95 ,,,TRUE,$6.95 ,,"A generous serving of whole Shiitake mushrooms stir-fried with sliced tender beef in our house sauce, a mushroom lover‰Ûªs delight."
yes,lamb,Lamb,,Mongolian Lamb,$11.95 ,,,,,,Tender sliced leg of lamb sauteed with green onions and roasted red hot peppers in our house sauce served on a bed of crispy rice noodles.
yes,lamb,Lamb,,Gao Lan,$11.95 ,,,TRUE,$6.95 ,,"Thinly sliced leg of lamb marinated in Sichuan spices, then quickly sauteed to perfection and served with julienned scallions."
yes,pork,Pork,,Spicy Sichuan Harbor Pork,$10.95 ,,,,,,"Julienned pork sauteed with water chestnuts, willow tree fungus, and fresh ginger in a spicy garlic sauce."
,pork,Pork,,Sweet and Sour Pork,$10.95 ,,,,,,Tender chunks of lean pork deep-fried in batter and quickly tossed with onions and bell peppers in our tangy ginger-sweet and sour sauce.
,pork,Pork,,Shandong Shiitake Mushroom Pork,$10.95 ,,,,,,"Julienned pork sauteed with Napa cabbage, whole shiitake mushrooms, and ginger served in our house sauce."
yes,pork,Pork,,Hunan Hot Pepper Pork,$10.95 ,,,,,,Julienned pork stir-fried with jalapeno pepper and onions in a spicy Sichuan sauce.
yes,chicken,Chicken,,Spicy Dry Fried Chicken,$10.95 ,,,TRUE,$6.95 ,,"Deep-fried battered chicken chunks tossed with Xiao Loong's sweet garlic pepper sauce. A very aromatic dish with minced ginger, garlic, chili pods, and green onions."
,chicken,Chicken,,Lemon Chicken,$10.95 ,,,TRUE,$6.95 ,,Golden fried sliced chicken breast with Xiao Loong's sweet and tangy ginger lemon sauce topped with candied lemon zest and served over a bed of cabbage.
yes,chicken,Chicken,,Xiao Loong House Chicken,$10.95 ,,,TRUE,$6.95 ,,Sliced chicken breast with roasted red hot peppers and fermented black beans in a garlic-infused tangy wine sauce.
yes,chicken,Chicken,,Cheng Bi Chicken,$10.95 ,,,,,,Tender diced chicken sauteed with dried orange peel and roasted red hot peppers in our spicy garlic sauce.The hot wok draws the dried orange peel‰Ûªs essential oils and imparts a citrus aroma to this delectable dish.
,chicken,Chicken,,Garlic Chicken,$10.95 ,,,TRUE,$6.95 ,,"Diced chicken, minced garlic, sliced shiitake mushrooms, and water chestnuts stir-fried in our house soy sauce."
,chicken,Chicken,,Clay Pot Curry Chicken,$10.95 ,,,TRUE,$6.95 ,,"Sliced chicken breast sauteed with yellow onions and bell peppers in our house blend of curry spices, served in a sizzling hot clay pot."
,chicken,Chicken,,Black Bean Chicken,$10.95 ,,,TRUE,$6.95 ,,Sliced chicken breast stir-fried with fresh broccoli and baby corn in a black bean sauce accented with garlic and ginger.
yes,chicken,Chicken,,Kung Pao Chicken,$10.95 ,,,TRUE,$6.95 ,,"Diced chicken chunks sauteed with roasted red hot peppers, green onion bulbs, bell peppers, white onions,and fresh roasted peanuts tossed in our spicy Kung Pao sauce."
,chicken,Chicken,,Shiitake Mushrooms and Chicken,$10.95 ,,,,,,A generous serving of whole shiitake mushrooms stir-fried with sliced chicken breast in our house sauce.
,chicken,Chicken,,Cashew Chicken,$10.95 ,,,TRUE,$6.95 ,,"A mixture of fresh roasted cashews, diced chicken, green onion bulbs, bell peppers, and white onions stir-fried in our house sauce."
yes,chicken,Chicken,,Hunan Peanut Chicken,$10.95 ,,,,,,"Tender seasoned diced chicken and roasted peanuts dry sauteed with roasted red hot chili, garlic, diced green hot peppers, minced bell peppers, and onions."
,vegetables,Vegetables,TRUE,Xiao Loong Vegetable Garden,$9.50 ,,,TRUE,$6.95 ,,"Assorted fresh vegetables, stir-fried with chopped scallions and a light garlic-infused wine sauce."
,vegetables,Vegetables,TRUE,Stir-Fried Spinach and Mung Bean Thread,$10.50 ,,,,,,"Fresh spinach and delicate mung bean threads, stir-fried with a garlic wine sauce."
,vegetables,Vegetables,TRUE,Fresh Spinach and Garlic,$10.50 ,,,,,,Fresh spinach sauteed in a garlic wine sauce. A must for spinach lovers.
yes,vegetables,Vegetables,TRUE,Spicy Sichuan Garlic Eggplant,$10.50 ,,,TRUE,$6.95 ,,"Fresh Japanese eggplant, braised with our spicy Sichuan garlic sauce."
yes,vegetables,Vegetables,TRUE,Dry Sauteed Green Beans or Asparagus,$10.5/$11.95,,,,,,"Fresh green beans or asparagus, flash-fried and tossed with a mixture of fresh minced ginger, chopped garlic, minced preserved Chinese turnips, and roasted red hot peppers in our house soy sauce."
,vegetables,Vegetables,TRUE,Shitake Mushrooms and Tender Baby Bok Choy,$10.50 ,,,TRUE,$6.95 ,,"Tender whole shitake mushrooms and fresh baby bok choy, stir-fried with a light wine-garlic sauce."
yes,vegetables,Vegetables,TRUE,Clay Pot Ma-Por Tofu,$10.50 ,,,TRUE,$6.95 ,,"Diced tofu, braised with garlic and onions in a spicy Sichuan bean sauce, served table side in a sizzling hot clay pot."
yes,vegetables,Vegetables,TRUE,Family Style Chili Pepper Tofu,$10.50 ,,,TRUE,$6.95 ,,"Chunks of tofu, sauteed with julienned vegetables, bell peppers, roasted red hot peppers, and mung bean threads in a light oyster sauce."
,vegetables,Vegetables,TRUE,Gai Lan,$11.00 ,,,,,,"Fresh Chinese Broccoli blanched and sprinkled with sesame oil, served with oyster sauce on the side."
,vegetables,Vegetables,TRUE,Snow Pea Sprouts and Garlic,$12.00 ,,,,,,Fresh outdoor grown large snow pea tips sauteed with garlic and green onions.
,vegetables,Vegetables,TRUE,Broccoli & Soft Tofu,$10.50 ,,,,,,Soft tofu and broccoli simmered in a sliced garlic white sauce topped with nori and toasted sesame seeds.
,fried_rice,Fried Rice,TRUE,Vegetable Fried Rice,$7.95 ,,,TRUE,$7.95 ,,"Jasmine white rice wok-fried with diced vegetables, fluffed eggs, peas, diced carrots, and green onions."
,fried_rice,Fried Rice,,"Chicken, Pork, or Beef Fried Rice",$7.95 ,,,TRUE,$7.95 ,,"Jasmine white rice wok-fried with your choice of meat, fluffed eggs, peas, diced carrots, and green onions."
,fried_rice,Fried Rice,,Shrimp or Combination Fried Rice,$8.95 ,,,TRUE,$8.95 ,,"Jasmine white rice wok-fried with your choice of either shrimp, or a combination of chicken, beef, and shrimp, fluffed eggs, peas, diced carrots, and green onions."
,mein_fun,Chow Mein and Chow Fun,TRUE,Vegetable Chow Mein or Chow Fun,$7.95 ,,,TRUE,$7.95 ,,"Egg noodles or Chow fun noodles stir-fried with fresh vegetables including baby bok choy, snow peas, carrots, spinach, shiitake mushrooms, and green onions."
,mein_fun,Chow Mein and Chow Fun,,"Chicken, Pork, or Beef Chow Mein or Chow Fun",$7.95 ,,,TRUE,$7.95 ,,"Egg noodles or Chow Fun noodles stir-fried with your choice of meat, fresh assorted vegetables, and green onions."
,mein_fun,Chow Mein and Chow Fun,,Shrimp or Combination Chow Mein or Chow Fun,$8.95 ,,,TRUE,$8.95 ,,"Egg noodles or Chow Fun noodles stir-fried with your choice of either shrimp, or a combination of chicken, beef, and shrimp, fresh assorted vegetables, and green onions."
,rice,Steamed Rice,,Steamed Jasmine White rice per person,$2.00 ,,,,,,
,rice,Steamed Rice,,Steamed Jasmine Brown rice per person,$2.00 ,,,,,,
,mein_fun,Chow Mein and Chow Fun,,Hong Kong-style crispy Chow Mein noodles add,$2.00 ,,,TRUE,$1.50 ,,
